"worker_id","first_name","last_name","gender","base_salary","overtime","total_salary","employee_level"
"HRC-1000","Elizabeth","Wilson","Male",20161,700,20861,"B2"
"HRC-1001","David","Miller","Male",21815,1800,23615,"B2"
"HRC-1002","Michael","Miller","Male",19472,300,19772,"A1"
"HRC-1003","David","Rodriguez","Female",33988,1200,35188,"B2"
"HRC-1004","Robert","Johnson","Female",11014,1500,12514,"A1"
"HRC-1005","James","Davis","Male",5755,2000,7755,"B2"
"HRC-1006","David","Jones","Male",32792,400,33192,"B2"
"HRC-1007","Linda","Anderson","Female",20126,1500,21626,"A5-F"
"HRC-1008","Robert","Johnson","Female",6851,1200,8051,"A5-F"
"HRC-1009","Michael","Anderson","Male",15603,100,15703,"A1"
"HRC-1010","Michael","Anderson","Female",24794,1600,26394,"A5-F"
"HRC-1011","Jennifer","Jones","Male",31956,400,32356,"B2"
"HRC-1012","James","Smith","Female",34943,1400,36343,"B2"
"HRC-1013","Robert","Garcia","Female",10803,100,10903,"A1"
"HRC-1014","John","Wilson","Male",7829,1300,9129,"B2"
"HRC-1015","David","Williams","Male",15482,1900,17382,"A1"
"HRC-1016","Mary","Davis","Female",30286,100,30386,"B2"
"HRC-1017","James","Miller","Male",24385,100,24485,"B2"
"HRC-1018","William","Garcia","Female",32573,1200,33773,"B2"
"HRC-1019","Elizabeth","Jones","Female",21760,200,21960,"A5-F"
"HRC-1020","Jennifer","Anderson","Male",15908,400,16308,"A1"
"HRC-1021","Michael","Williams","Male",29678,500,30178,"B2"
"HRC-1022","John","Davis","Female",13970,2000,15970,"A1"
"HRC-1023","David","Brown","Female",16825,900,17725,"A1"
"HRC-1024","Michael","Smith","Female",28822,1400,30222,"B2"
"HRC-1025","Barbara","Smith","Female",7385,1700,9085,"A5-F"
"HRC-1026","John","Smith","Female",32256,800,33056,"B2"
"HRC-1027","David","Martinez","Female",24518,900,25418,"A5-F"
"HRC-1028","Patricia","Rodriguez","Male",29845,1900,31745,"B2"
"HRC-1029","William","Wilson","Female",21848,1600,23448,"A5-F"
"HRC-1030","David","Williams","Female",21713,0,21713,"A5-F"
"HRC-1031","Barbara","Garcia","Male",13257,1800,15057,"A1"
"HRC-1032","Jennifer","Johnson","Female",10468,300,10768,"A1"
"HRC-1033","David","Williams","Female",22202,1200,23402,"A5-F"
"HRC-1034","Jennifer","Anderson","Female",20773,1800,22573,"A5-F"
"HRC-1035","John","Smith","Male",10559,600,11159,"A1"
"HRC-1036","John","Brown","Male",23731,1900,25631,"B2"
"HRC-1037","William","Johnson","Male",31592,800,32392,"B2"
"HRC-1038","Patricia","Rodriguez","Female",32527,100,32627,"B2"
"HRC-1039","Michael","Anderson","Male",25864,300,26164,"B2"
"HRC-1040","Mary","Garcia","Male",18978,600,19578,"A1"
"HRC-1041","Barbara","Miller","Male",27712,700,28412,"B2"
"HRC-1042","Michael","Johnson","Female",23757,1900,25657,"A5-F"
"HRC-1043","David","Davis","Female",15342,500,15842,"A1"
"HRC-1044","William","Johnson","Male",27097,600,27697,"B2"
"HRC-1045","Jennifer","Davis","Female",32076,1200,33276,"B2"
"HRC-1046","John","Jones","Male",12608,1000,13608,"A1"
"HRC-1047","John","Davis","Female",33095,1000,34095,"B2"
"HRC-1048","Michael","Davis","Male",26489,2000,28489,"B2"
"HRC-1049","Barbara","Martinez","Male",13249,1000,14249,"A1"
"HRC-1050","David","Jones","Male",20248,1400,21648,"B2"
"HRC-1051","William","Williams","Male",31388,400,31788,"B2"
"HRC-1052","James","Wilson","Male",15138,1300,16438,"A1"
"HRC-1053","Linda","Williams","Male",21477,900,22377,"B2"
"HRC-1054","Elizabeth","Davis","Female",14025,1700,15725,"A1"
"HRC-1055","Elizabeth","Smith","Female",22736,1400,24136,"A5-F"
"HRC-1056","Robert","Miller","Female",19729,800,20529,"A5-F"
"HRC-1057","Linda","Williams","Male",28170,600,28770,"B2"
"HRC-1058","David","Rodriguez","Male",32103,900,33003,"B2"
"HRC-1059","Barbara","Williams","Male",6676,900,7576,"B2"
"HRC-1060","Barbara","Wilson","Female",20516,2000,22516,"A5-F"
"HRC-1061","Barbara","Wilson","Male",28328,800,29128,"B2"
"HRC-1062","Robert","Garcia","Female",33653,800,34453,"B2"
"HRC-1063","James","Smith","Male",14922,200,15122,"A1"
"HRC-1064","David","Miller","Male",34560,700,35260,"B2"
"HRC-1065","Elizabeth","Miller","Male",11913,600,12513,"A1"
"HRC-1066","Michael","Anderson","Female",29719,2000,31719,"B2"
"HRC-1067","Linda","Smith","Male",14818,500,15318,"A1"
"HRC-1068","Linda","Miller","Male",30594,1000,31594,"B2"
"HRC-1069","James","Anderson","Male",28805,1600,30405,"B2"
"HRC-1070","Barbara","Williams","Male",28176,100,28276,"B2"
"HRC-1071","Mary","Anderson","Female",13279,1400,14679,"A1"
"HRC-1072","William","Martinez","Male",11909,900,12809,"A1"
"HRC-1073","Barbara","Anderson","Male",8125,400,8525,"B2"
"HRC-1074","Michael","Johnson","Male",12917,1700,14617,"A1"
"HRC-1075","Patricia","Martinez","Female",34957,0,34957,"B2"
"HRC-1076","Robert","Rodriguez","Female",12103,1000,13103,"A1"
"HRC-1077","Patricia","Williams","Female",22895,1900,24795,"A5-F"
"HRC-1078","James","Johnson","Male",12855,600,13455,"A1"
"HRC-1079","John","Anderson","Female",29742,500,30242,"B2"
"HRC-1080","David","Williams","Male",16058,1400,17458,"A1"
"HRC-1081","Michael","Jones","Male",6972,1800,8772,"B2"
"HRC-1082","Linda","Davis","Female",31899,1200,33099,"B2"
"HRC-1083","Jennifer","Rodriguez","Male",17665,1000,18665,"A1"
"HRC-1084","William","Wilson","Female",6239,1800,8039,"A5-F"
"HRC-1085","William","Anderson","Male",20331,1100,21431,"B2"
"HRC-1086","Linda","Rodriguez","Female",16750,1000,17750,"A1"
